"Filename","WC","RC2","RC3","RC6","RC1","RC4","RC10","RC7","RC8","RC14","RC5","RC9","RC11","RC15","RC12","RC13"
"55_11_4743.txt",205,1.80996,0.90498,1.35747,5.42987,4.52489,-2.26244,3.16743,5.42987,1.80996,-0.45249,1.80996,0.45249,2.71493,-2.26244,1.35747
"55_11_4744.txt",212,4.64134,2.95358,1.26582,5.06328,8.4388,-0.42194,3.37552,3.37552,1.26582,1.26582,2.1097,2.95358,0.42194,1.26582,-1.68776
"55_12_4747.txt",20,0,0,0,14.2857,4.7619,-4.7619,0,9.5238,4.7619,0,4.7619,0,9.5238,-4.7619,0
"55_12_4748.txt",25,3.84615,0,0,11.53846,19.23076,-3.84615,11.53846,11.53846,0,0,0,7.69231,3.84615,3.84615,0
"55_12_4749.txt",26,0,0,3.57143,3.57143,14.28572,-7.14286,3.57143,14.28572,3.57143,0,3.57143,0,7.14286,3.57143,3.57143
"55_12_4750.txt",27,0,0,0,3.44828,3.44828,-3.44828,0,3.44828,0,0,3.44828,0,6.89656,-3.44828,0
"55_12_4751.txt",28,0,0,0,3.33333,3.33333,-3.33333,0,3.33333,0,0,3.33333,0,6.66666,-3.33333,0
"55_12_4752.txt",29,0,0,3.22581,0,0,0,0,0,0,0,3.22581,0,6.45162,0,0
"55_12_4753.txt",203,2.25225,2.7027,0.9009,6.75675,7.65765,-1.8018,1.35135,6.75675,1.8018,0,2.25225,2.7027,1.8018,-1.8018,1.35135
"55_12_4754.txt",207,0.88106,5.72689,0,1.76212,1.76212,5.72689,3.52424,3.96477,0.88106,2.20265,3.52424,0.88106,0.44053,2.20265,-1.11022302462516e-16
"55_12_4755.txt",213,2.14591,3.86265,0.42918,3.43346,4.721,0.42918,2.14591,3.43346,0.42918,1.28756,3.43346,2.14591,1.71673,0.85837,0.42919
"55_13_4761.txt",203,3.70369,1.85184,-0.92593,12.03702,8.33331,2.3148,5.09258,6.48147,4.62962,-1.38889,4.16665,-0.92594,2.77777,-1.85184,0.46296
"55_13_4762.txt",216,2.97872,0.85106,0.85106,4.68085,5.10637,-1.70214,1.27659,6.80851,0.42553,0,2.55318,0.42553,3.82979,-0.85107,2.12765
"55_13_4763.txt",223,4.58334,1.66668,1.25,5.83334,7.50001,0.83335,3.75001,9.16666,2.5,-0.41667,3.33335,-0.41667,5,-0.41667,1.66666
"55_14_4772.txt",209,2.63158,1.3158,1.31579,6.57896,7.45615,0.43861,3.50878,7.89474,2.63158,-0.4386,2.63159,-0.8772,4.82457,-1.3158,1.75439
"55_14_4773.txt",216,1.26051,0.42017,0.84034,5.88237,7.56304,1.00000000000655e-05,3.78153,8.40338,2.94118,-0.42017,2.94118,2.10085,5.04202,-1.68067,1.26051
"55_14_4774.txt",447,4.3659,1.6632,1.2474,6.237,7.2765,0.4158,3.7422,9.3555,2.4948,-0.4158,3.1185,-0.4158,4.9896,-0.4158,1.4553
"55_15_4777.txt",20,9.5238,4.7619,0,4.7619,4.7619,0,0,4.7619,9.5238,0,0,0,4.7619,0,0
"55_15_4778.txt",20,9.5238,0,0,9.52381,4.7619,-9.52381,0,9.52381,-4.7619,0,4.7619,0,0,0,0
"55_15_4779.txt",26,23.0769,7.6923,3.84615,0,3.84615,3.84615,3.84615,3.84615,0,0,3.84615,0,-3.84615,-7.6923,0
"55_15_4780.txt",27,0,14.28572,3.57143,3.57143,17.85715,0,14.28572,3.57143,0,3.57143,7.14286,3.57143,0,10.71429,-10.71429
"55_15_4781.txt",207,1.82648,4.56621,0,4.5662,8.67579,0.45662,3.19634,3.19634,0.91323,1.82648,5.93607,5.47945,-0.45662,2.28311,-5.02283
"55_15_4782.txt",209,2.23215,2.23215,0.44643,4.01786,6.69644,-0.89285,1.33929,4.91072,1.78572,-0.44643,2.67858,1.33929,3.57143,-2.23214,-0.89286
"55_15_4783.txt",211,6.66666,1.77777,0.44444,3.99998,6.22219,0.88887,2.66665,5.33332,3.55554,-1.33333,2.66665,0,2.66666,-2.66668,0
"55_2_4675.txt",208,3.12501,3.57144,3.57144,2.67858,4.4643,2.67858,0,0.44643,2.67858,-0.44643,2.67858,0.89286,3.12501,0.44643,-1.78572
"55_2_4676.txt",213,2.5641,2.5641,0,3.84615,3.4188,2.5641,2.5641,4.2735,2.99145,-1.28205,2.99145,-1.28205,2.13675,-1.28205,1.28205
"55_2_4677.txt",217,5.4622,3.36136,2.52102,2.52101,6.30253,0.84035,0.84034,4.62186,2.94119,0,3.36136,0.42017,3.36135,-2.10084,0.42017
"55_3_4680.txt",203,3.55555,4.44442,0.44444,2.66666,5.77777,-1.00000000000655e-05,3.99999,2.66665,-1.33333,3.55555,3.99999,2.66666,-1.33334,4,-1.33333
"55_3_4681.txt",206,2.64318,3.08371,0.44053,5.28635,3.96477,2.20265,1.76212,0.88106,1.32159,-0.44053,2.20265,-2.64317,2.20265,3.08371,-0.44053
"55_3_4682.txt",219,3.2787,2.0492,0.40984,9.01641,7.37706,-1.63934,1.22951,9.83607,4.5082,-0.81966,4.09836,0.40984,4.91804,-4.09836,0.81968
"55_4_4685.txt",32,2.85714,2.85714,2.85714,2.85714,8.57142,-2.85714,0,11.42856,5.71428,-2.85714,5.71428,0,5.71428,-8.57142,2.85714
"55_4_4686.txt",157,9.35675,1.1696,0,1.7544,6.43278,-0.5848,1.75439,4.09359,-0.5848,-1.1696,4.09358,2.3392,0.5848,1.75438,0.5848
"55_4_4687.txt",210,3.01722,1.72413,0.43103,3.01723,5.60341,-1.11022302462516e-16,2.15516,4.74135,0.43103,-0.43103,3.01723,2.58619,1.72413,-9.99999999995449e-06,2.58619
"55_4_4688.txt",217,2.1097,7.59493,1.26582,2.53164,5.90717,2.53164,2.53164,0.42194,0.42193,0,3.79747,1.68777,0.42194,4.64135,-2.95359
