

KMO_TEST:

KMO_METRIC: 0.674999301157518
The KMO test yields a DECENT degree of common variance.

BARTLETT_SPHERICITY_TEST:


	Bartlett's test of sphericity

data:  InputData
X-squared = 47775, df = 11325, p-value < 2.2e-16



FACTOR_ANALYSIS_RESULTS:

Principal Components Analysis
Call: principal(r = InputData, nfactors = NumberOfFactors, residuals = FALSE, 
    rotate = "varimax", method = "regression")
Standardized loadings (pattern matrix) based upon correlation matrix
               RC2   RC7   RC6   RC8  RC14   RC3   RC5   RC1   RC4  RC15  RC11   RC9  RC13  RC12  RC10    h2   u2 com
enjoy        -0.02  0.21  0.00  0.03 -0.02  0.14  0.20  0.07  0.03  0.00 -0.01 -0.13  0.13  0.09 -0.02 0.153 0.85 5.1
paper         0.01 -0.04  0.04 -0.14 -0.04 -0.11 -0.04  0.04  0.09  0.02 -0.03  0.14  0.01  0.39  0.00 0.219 0.78 2.1
due           0.10 -0.02 -0.01  0.08  0.04  0.00  0.05  0.11  0.09 -0.02 -0.02  0.32 -0.08  0.17 -0.06 0.183 0.82 2.9
eat           0.03  0.70 -0.01  0.00 -0.08  0.04  0.05  0.05 -0.07  0.00 -0.04  0.01 -0.04 -0.03  0.04 0.518 0.48 1.1
listen       -0.02  0.01 -0.04 -0.05 -0.02  0.08 -0.09  0.10  0.08  0.00  0.04 -0.02  0.60  0.00 -0.01 0.399 0.60 1.2
mood          0.08  0.04 -0.04  0.07  0.07  0.07  0.00  0.30 -0.01 -0.08 -0.09 -0.08  0.21 -0.08  0.00 0.191 0.81 3.4
turn          0.04  0.02  0.02  0.00  0.08  0.04  0.13  0.01  0.04  0.13  0.04  0.06 -0.03 -0.01  0.03 0.053 0.95 4.2
grade         0.42 -0.03  0.11  0.05 -0.01 -0.08 -0.07 -0.04  0.08 -0.01 -0.03  0.12 -0.04 -0.01 -0.06 0.229 0.77 1.7
watch        -0.05  0.07 -0.14  0.12 -0.07  0.13  0.61 -0.09  0.05 -0.14 -0.04 -0.03 -0.09  0.02  0.00 0.480 0.52 1.6
movie        -0.05  0.03 -0.07  0.06 -0.07  0.21  0.19 -0.08  0.04 -0.03 -0.03  0.01 -0.10  0.05 -0.05 0.123 0.88 4.3
nice          0.03  0.13  0.08 -0.10 -0.03  0.15  0.01  0.27 -0.02  0.05 -0.04 -0.09  0.03  0.07  0.10 0.158 0.84 3.8
text         -0.01 -0.08  0.08  0.09 -0.08  0.13  0.05  0.05 -0.07  0.13  0.08  0.02  0.00  0.00  0.08 0.087 0.91 8.1
morning       0.03  0.15 -0.08  0.33  0.06  0.02 -0.02  0.26 -0.02  0.12 -0.01  0.03  0.00 -0.02  0.00 0.226 0.77 3.0
prepare       0.31  0.19  0.04 -0.03  0.01 -0.07 -0.05  0.01  0.13  0.10 -0.03 -0.04 -0.01  0.02  0.15 0.193 0.81 3.2
experience   -0.04  0.05  0.12  0.06  0.15  0.10 -0.02  0.07  0.00 -0.11 -0.05 -0.07  0.05  0.13 -0.01 0.099 0.90 7.2
surprise      0.05 -0.07  0.00 -0.03 -0.03  0.23 -0.01  0.00  0.00  0.14  0.01  0.00  0.01  0.02  0.01 0.080 0.92 2.1
emotion       0.04  0.00 -0.02  0.05 -0.01  0.09  0.07  0.01  0.39 -0.11 -0.01 -0.05  0.10 -0.03  0.00 0.193 0.81 1.6
note          0.26 -0.02 -0.04  0.04 -0.05 -0.03 -0.06 -0.02 -0.04  0.02  0.16 -0.03  0.13  0.24  0.04 0.182 0.82 3.8
laptop       -0.08  0.00  0.02  0.00 -0.03  0.03  0.06 -0.07 -0.04  0.13  0.02  0.25  0.03  0.04  0.00 0.101 0.90 2.4
wear         -0.05 -0.04 -0.04  0.25 -0.01  0.01  0.02 -0.05  0.05  0.12  0.02  0.04  0.03 -0.03  0.05 0.092 0.91 2.2
hard          0.17 -0.03 -0.05  0.09  0.05  0.09 -0.02  0.14  0.08 -0.05  0.14  0.08  0.05  0.06  0.03 0.113 0.89 7.1
hungry       -0.05  0.63 -0.02  0.08 -0.01 -0.09 -0.02 -0.10  0.04  0.06 -0.01  0.11  0.01  0.01 -0.03 0.450 0.55 1.2
train        -0.15 -0.04 -0.06  0.05  0.17 -0.01 -0.08  0.22 -0.04  0.20  0.00 -0.09 -0.02  0.02  0.01 0.163 0.84 5.1
roommate     -0.04  0.04  0.03  0.02 -0.02  0.12  0.01 -0.03  0.08 -0.01 -0.01 -0.02  0.06 -0.07  0.49 0.275 0.73 1.3
student       0.03  0.03  0.20  0.07  0.22 -0.02 -0.02 -0.08  0.03  0.05  0.05 -0.04  0.02  0.18 -0.10 0.151 0.85 4.5
clean        -0.05  0.08 -0.08  0.04  0.06 -0.01  0.06 -0.02  0.05  0.02  0.00 -0.07 -0.05  0.05  0.31 0.133 0.87 1.9
continue      0.00  0.00 -0.08  0.02  0.02  0.17  0.11  0.01  0.22  0.03  0.07 -0.09  0.02  0.02 -0.01 0.108 0.89 3.5
begin         0.15  0.04  0.08  0.06  0.09  0.01  0.05 -0.02 -0.03  0.03  0.03 -0.06  0.03  0.16  0.12 0.097 0.90 5.7
hope          0.13  0.00  0.07  0.07  0.15  0.01 -0.03 -0.02 -0.03  0.05 -0.10  0.04  0.03 -0.08  0.00 0.074 0.93 5.5
library      -0.02  0.06  0.14  0.07 -0.03 -0.04 -0.12 -0.13  0.35  0.04 -0.03  0.42  0.02 -0.10 -0.07 0.379 0.62 3.0
weekend       0.07 -0.05  0.13  0.09 -0.09  0.04  0.02  0.32 -0.09 -0.01  0.02  0.05 -0.01 -0.06  0.11 0.170 0.83 2.6
school        0.00  0.08  0.06  0.04 -0.01  0.10  0.07  0.13 -0.09 -0.13  0.03 -0.04 -0.03  0.17  0.09 0.107 0.89 7.1
music        -0.06 -0.02 -0.04 -0.07 -0.08 -0.04  0.05  0.19  0.11  0.10 -0.10  0.09  0.49 -0.04  0.10 0.356 0.64 2.0
problem       0.20 -0.04 -0.08  0.00  0.23  0.06 -0.02 -0.06  0.09 -0.01  0.04  0.22  0.01 -0.05  0.03 0.171 0.83 4.3
walk          0.06  0.08  0.00  0.00 -0.10  0.04 -0.07  0.06 -0.01  0.40 -0.05 -0.05 -0.03 -0.05  0.04 0.203 0.80 1.5
semester      0.19  0.02  0.33  0.01 -0.04 -0.02  0.02  0.01 -0.02  0.04  0.07 -0.06 -0.02  0.06  0.04 0.168 0.83 2.0
shop         -0.08  0.01 -0.02  0.00 -0.04  0.05 -0.04  0.06  0.02  0.06  0.08  0.03 -0.03 -0.06  0.06 0.035 0.96 8.7
material      0.47  0.01 -0.03  0.05  0.07 -0.04 -0.04 -0.01 -0.04 -0.06  0.13 -0.05  0.13  0.05  0.00 0.273 0.73 1.6
hand          0.11  0.05  0.02 -0.09  0.07 -0.09  0.00  0.01  0.19  0.04 -0.02 -0.04  0.06  0.07  0.13 0.099 0.90 5.2
project      -0.07 -0.06  0.34 -0.12  0.11 -0.24  0.07  0.06  0.25 -0.07 -0.01  0.13  0.06  0.01  0.00 0.305 0.69 4.4
calm          0.07  0.00 -0.10  0.01 -0.27  0.02  0.03  0.11  0.32  0.04 -0.05 -0.06 -0.01  0.15  0.01 0.235 0.77 3.4
exam          0.56 -0.01  0.04 -0.05 -0.12  0.01 -0.04  0.08 -0.01 -0.02  0.06  0.06 -0.11 -0.08  0.02 0.363 0.64 1.4
complete     -0.02  0.01  0.12  0.10  0.20 -0.10  0.10  0.04  0.40  0.03  0.02  0.13 -0.04  0.02  0.04 0.273 0.73 2.5
break.        0.03  0.15  0.00  0.01 -0.09  0.15  0.06  0.22 -0.02 -0.04  0.08  0.08  0.00 -0.01 -0.04 0.124 0.88 4.3
test          0.40 -0.02 -0.04 -0.07  0.15 -0.05  0.04  0.11 -0.02 -0.02 -0.01  0.03 -0.01 -0.01  0.05 0.213 0.79 1.7
neutral       0.02 -0.07 -0.05 -0.01 -0.17 -0.01 -0.11 -0.05  0.19 -0.05 -0.04  0.02  0.06  0.03 -0.05 0.099 0.90 4.1
final         0.26 -0.04  0.21 -0.02 -0.11 -0.14  0.09  0.14 -0.05 -0.03 -0.03  0.10 -0.08  0.07  0.03 0.199 0.80 5.1
quiz          0.40 -0.04 -0.14  0.06  0.04  0.03 -0.01  0.06 -0.06  0.05 -0.11 -0.01  0.08 -0.06 -0.04 0.224 0.78 1.8

                       RC2  RC7  RC6  RC8 RC14  RC3  RC5  RC1  RC4 RC15 RC11  RC9 RC13 RC12 RC10
SS loadings           2.89 2.31 2.21 2.17 2.11 2.09 2.07 2.07 2.07 2.05 1.99 1.91 1.85 1.81 1.80
