"Filename","WC","RC6","RC3","RC2","RC7","RC4","RC9","RC10","RC5","RC1","RC8"
"2_3_143.txt",32,8.82353,5.88235,0,5.88236,11.76472,2.94117,8.82354,-2.94118,5.88236,5.88236
"2_3_144.txt",37,7.5,5,2.5,5,7.5,2.5,5,5,0,0
"2_3_145.txt",40,0,4.65116,0,9.30232,2.32558,2.32558,4.65116,0,2.32558,2.32558
"2_3_146.txt",48,4,2,0,2,4,2,2,0,0,2
"2_3_147.txt",198,2.26245,0.90498,1.80996,0.45249,4.07241,-0.45249,2.26245,0.90498,0.45249,0.90498
"2_3_148.txt",207,3.55553,3.99996,0.88888,2.66665,8.44442,2.2222,8.88885,1.77778,-0.44445,1.33333
"2_3_149.txt",226,3.25201,1.2195,0.40651,0.81299,5.69104,2.03251,3.252,0.813,-0.813,4.06503
"2_4_155.txt",41,0,0,0,0,2.17391,0,0,0,-2.17391,2.17391
"2_4_156.txt",55,1.66667,6.66668,-1.66667,6.66667,8.33335,6.66667,5.00001,3.33334,3.33334,-1.00000000000655e-05
"2_4_157.txt",208,1.34529,3.58744,0.89686,1.79372,2.69058,0.44843,4.03587,0.44843,1.79372,1.34529
"2_4_158.txt",209,4.7619,0,1.2987,0.4329,6.9264,0.4329,2.5974,0,-1.7316,3.4632
"2_4_159.txt",218,3.38984,2.11865,1.69492,0.42373,8.4746,0.42373,5.08476,-1.27119,-1.27119,2.54238
"2_5_164.txt",51,1.81818,0,0,0,1.81818,0,0,0,-1.81818,3.63636
"2_5_165.txt",84,2.1978,3.2967,2.1978,-1.0989,0,0,4.3956,-1.0989,-1.0989,8.7912
"2_5_166.txt",203,1.8182,1.36365,1.8182,0,4.54546,-0.45455,1.36365,0,-2.27272,2.72729
"2_5_167.txt",211,1.78572,6.69645,1.33929,3.57144,5.35715,2.67858,7.14287,0.89286,1.33929,0
"2_5_168.txt",221,5.73773,1.22951,0.81968,2.04918,5.73774,2.45903,4.09839,2.04918,-0.40983,0.40985
"2_6_175.txt",37,7.6923,-2.5641,2.5641,0,7.6923,-2.5641,5.1282,0,-2.5641,0
"2_6_176.txt",228,4.83874,3.62905,0.40324,2.8226,5.24196,3.62904,2.8226,2.41937,-0.80644,2.82259
"2_6_177.txt",228,3.55732,4.34784,0.79051,4.34784,7.11463,1.18578,5.92886,1.58103,-1.18577,-0.39525
"2_6_178.txt",290,2.41689,3.92746,1.81267,4.8338,3.02112,0.90634,3.92745,0,2.11478,2.41689
"2_7_184.txt",202,1.38889,9.25925,0.46296,2.31482,6.0185,0.92592,2.31481,1.00000000000655e-05,0.46296,2.77779
"2_7_185.txt",226,2.83401,7.28746,0,6.07288,4.45344,2.02429,6.07289,-0.80972,0,1.21458
