

KMO_TEST:

KMO_METRIC: 0.691861271907544
The KMO test yields a DECENT degree of common variance.

BARTLETT_SPHERICITY_TEST:


	Bartlett's test of sphericity

data:  InputData
X-squared = 51810, df = 11175, p-value < 2.2e-16



FACTOR_ANALYSIS_RESULTS:

Principal Components Analysis
Call: principal(r = InputData, nfactors = NumberOfFactors, residuals = FALSE, 
    rotate = "varimax", method = "regression")
Standardized loadings (pattern matrix) based upon correlation matrix
               RC6   RC2   RC1   RC7   RC3   RC4   RC8   RC5   RC9  RC10    h2   u2 com
write         0.18  0.09  0.07 -0.05 -0.06  0.14 -0.17  0.03  0.04  0.03 0.104 0.90 4.5
tire          0.02  0.06  0.01  0.00 -0.10  0.01  0.47  0.03 -0.05 -0.02 0.237 0.76 1.2
outside       0.03  0.06  0.16  0.09  0.03 -0.02  0.03 -0.01  0.15 -0.04 0.065 0.93 3.4
live         -0.01 -0.03 -0.10  0.08  0.18 -0.03 -0.02 -0.01  0.33  0.08 0.168 0.83 2.1
school        0.03  0.03  0.00  0.07  0.15 -0.03 -0.01  0.11  0.06  0.03 0.046 0.95 3.2
semester      0.20  0.14  0.03  0.02  0.31  0.06 -0.05 -0.01 -0.04 -0.13 0.179 0.82 2.8
laugh        -0.05  0.00  0.01 -0.05  0.15 -0.09  0.06  0.08  0.20  0.01 0.084 0.92 3.3
apartment    -0.01 -0.02 -0.02  0.10  0.04  0.00  0.04 -0.04  0.38 -0.05 0.162 0.84 1.3
together      0.04 -0.02  0.02  0.02  0.34 -0.02 -0.03 -0.05 -0.02 -0.01 0.124 0.88 1.1
group        -0.01  0.06  0.04 -0.05  0.25  0.04 -0.07  0.03 -0.05  0.05 0.082 0.92 1.7
surprise      0.06  0.02  0.05 -0.05  0.12 -0.04 -0.01 -0.01  0.20  0.03 0.064 0.94 2.4
walk          0.14 -0.06  0.25  0.15  0.01 -0.10  0.03 -0.05  0.15 -0.14 0.160 0.84 4.7
life         -0.03 -0.01 -0.09  0.02  0.18  0.04 -0.01  0.01  0.19  0.21 0.126 0.87 3.5
clean        -0.02 -0.04  0.05  0.08 -0.07  0.04  0.02  0.06  0.22 -0.04 0.074 0.93 2.1
emotion       0.03  0.05 -0.12  0.00  0.03  0.30  0.02  0.10  0.12  0.01 0.128 0.87 2.0
hard          0.14  0.13  0.02 -0.01  0.04  0.11  0.09  0.02  0.02  0.12 0.075 0.92 5.0
mood          0.08 -0.01  0.09  0.04  0.09 -0.08  0.09  0.11 -0.05  0.17 0.079 0.92 5.1
problem       0.12  0.09 -0.01 -0.06 -0.05  0.16  0.03 -0.07  0.02  0.23 0.113 0.89 3.3
lecture       0.11  0.54 -0.02  0.05 -0.02 -0.05  0.05 -0.02 -0.03  0.08 0.323 0.68 1.2
video        -0.08  0.01 -0.07 -0.03 -0.07  0.03  0.04  0.47  0.04  0.01 0.245 0.75 1.2
sad          -0.02 -0.02 -0.11  0.01  0.10 -0.02  0.04  0.06  0.11  0.25 0.102 0.90 2.5
night         0.06  0.06  0.08  0.01  0.13  0.08  0.42  0.01 -0.04  0.11 0.226 0.77 1.6
calm          0.20 -0.08 -0.09  0.05 -0.08  0.20  0.01  0.11  0.18 -0.14 0.163 0.84 5.7
bore         -0.07  0.23 -0.08 -0.07 -0.03  0.04  0.12  0.11 -0.01  0.02 0.099 0.90 2.9
topic         0.06  0.23 -0.08 -0.02  0.15  0.05 -0.05 -0.01  0.05  0.19 0.129 0.87 3.5
listen       -0.07  0.30 -0.06  0.03  0.02 -0.03 -0.01  0.08  0.00  0.18 0.142 0.86 2.1
game         -0.06  0.02  0.10 -0.09  0.06  0.01 -0.10  0.51 -0.12 -0.03 0.316 0.68 1.4
material      0.39  0.29 -0.03  0.00 -0.06 -0.05 -0.01 -0.04 -0.06  0.11 0.261 0.74 2.2
pay          -0.09  0.66  0.09 -0.04  0.00  0.05  0.06 -0.05 -0.01 -0.26 0.527 0.47 1.4
attention    -0.07  0.68  0.08 -0.04 -0.04  0.05  0.04  0.00  0.00 -0.24 0.534 0.47 1.3
sleep        -0.04  0.07  0.03  0.02 -0.06  0.15  0.55 -0.03 -0.10  0.15 0.368 0.63 1.5
coffee        0.01 -0.05  0.19  0.11  0.03 -0.05  0.10 -0.02  0.01 -0.02 0.067 0.93 2.7
wear         -0.02  0.04  0.06 -0.02 -0.07  0.03  0.28  0.01  0.12 -0.02 0.103 0.90 1.7
food         -0.07  0.01  0.03  0.58  0.01 -0.02 -0.04 -0.05  0.07  0.01 0.355 0.65 1.1
hungry       -0.07  0.04  0.02  0.62 -0.11  0.10  0.03 -0.05 -0.02  0.06 0.420 0.58 1.2
relax         0.17 -0.13 -0.12  0.15  0.02  0.03  0.17  0.39  0.05 -0.12 0.281 0.72 3.1
professor     0.28  0.54  0.03 -0.04  0.01 -0.09 -0.04  0.02 -0.06  0.10 0.394 0.61 1.7
shop         -0.05 -0.02  0.03  0.04  0.01  0.02  0.04 -0.02  0.08 -0.04 0.016 0.98 4.4
homework      0.12 -0.04 -0.07  0.04  0.01  0.04  0.13  0.13 -0.13  0.27 0.148 0.85 3.5
movie        -0.05 -0.06 -0.09  0.01 -0.02 -0.01  0.05  0.17  0.16  0.06 0.074 0.93 3.5
music        -0.03  0.07 -0.01  0.04  0.03  0.04  0.04  0.23 -0.01  0.11 0.078 0.92 2.0
neutral       0.04 -0.01 -0.17 -0.03 -0.05  0.14 -0.01 -0.07  0.02 -0.05 0.060 0.94 2.8
hand          0.12  0.04  0.05  0.02 -0.02  0.18 -0.10  0.01  0.09 -0.02 0.073 0.93 3.5
grade         0.40  0.07 -0.06 -0.01  0.08  0.14  0.03 -0.11 -0.13  0.04 0.226 0.77 1.9
bed           0.01 -0.02  0.00 -0.05 -0.06 -0.07  0.37  0.16  0.20 -0.12 0.226 0.77 2.5
roommate     -0.05 -0.02 -0.11  0.03  0.12  0.02  0.10  0.03  0.33 -0.03 0.152 0.85 1.9
library      -0.02 -0.03 -0.13  0.11  0.01  0.46  0.13 -0.12 -0.06  0.12 0.285 0.71 1.8
exam          0.55  0.07 -0.12  0.01  0.07 -0.05  0.04 -0.04 -0.06 -0.01 0.339 0.66 1.2
quiz          0.37  0.03  0.02 -0.04 -0.10 -0.13  0.07  0.00 -0.02  0.17 0.202 0.80 2.0
nap           0.00 -0.06 -0.02 -0.08 -0.05 -0.01  0.42  0.03  0.05  0.00 0.193 0.81 1.2
assignment    0.02  0.01 -0.08  0.06  0.07  0.39  0.19 -0.10 -0.13  0.10 0.237 0.76 2.3

                       RC6  RC2  RC1  RC7  RC3  RC4  RC8  RC5  RC9 RC10
SS loadings           2.87 2.64 2.53 2.51 2.51 2.45 2.24 2.18 2.11 1.92
Proportion Var        0.02 0.02 0.02 0.02 0.02 0.02 0.01 0.01 0.01 0.01
