

KMO_TEST:

KMO_METRIC: 0.710592466342076
The KMO test yields a GOOD degree of common variance.

BARTLETT_SPHERICITY_TEST:


	Bartlett's test of sphericity

data:  InputData
X-squared = 57660, df = 11175, p-value < 2.2e-16



FACTOR_ANALYSIS_RESULTS:

Principal Components Analysis
Call: principal(r = InputData, nfactors = NumberOfFactors, residuals = FALSE, 
    rotate = "varimax", method = "regression")
Standardized loadings (pattern matrix) based upon correlation matrix
               RC6   RC2   RC7   RC9   RC1  RC10   RC3   RC4   RC8   RC5    h2   u2 com
ready         0.14 -0.04  0.09 -0.06  0.17  0.00  0.04 -0.01  0.11  0.05 0.074 0.93 4.2
quick         0.13 -0.02  0.02  0.09  0.22 -0.03 -0.03  0.03  0.08 -0.05 0.083 0.92 2.6
play         -0.05  0.02 -0.04 -0.02  0.00 -0.01  0.12  0.02 -0.07  0.55 0.328 0.67 1.2
end           0.08  0.11  0.03  0.04  0.15  0.04  0.10  0.06  0.04  0.05 0.063 0.94 4.8
text          0.00  0.04 -0.06  0.16  0.13 -0.04  0.12 -0.07  0.14  0.03 0.089 0.91 5.0
nice          0.08 -0.06  0.15  0.18  0.13 -0.07  0.15  0.02 -0.08  0.09 0.124 0.88 6.0
tire          0.02  0.06 -0.01 -0.09  0.01  0.01 -0.05 -0.02  0.47  0.02 0.240 0.76 1.1
write         0.18  0.09 -0.05  0.00  0.09  0.16 -0.06  0.05 -0.17  0.02 0.113 0.89 4.6
person        0.04  0.00 -0.08  0.18  0.13  0.03  0.00  0.12 -0.08  0.01 0.078 0.92 3.9
order         0.00  0.00  0.17 -0.01  0.13  0.07  0.04  0.09 -0.02 -0.03 0.060 0.94 3.1
finish        0.15 -0.03  0.26 -0.06 -0.03  0.15  0.04  0.10  0.10  0.23 0.193 0.81 4.4
semester      0.16  0.13  0.01 -0.01  0.07  0.04  0.36 -0.05 -0.06 -0.01 0.184 0.82 1.9
outside       0.01  0.05  0.08  0.09  0.24  0.01  0.00 -0.01  0.03  0.00 0.076 0.92 1.7
live         -0.01 -0.01  0.07  0.38  0.03  0.02  0.05 -0.11 -0.02  0.00 0.166 0.83 1.3
school        0.04  0.04  0.08  0.12  0.01 -0.03  0.12 -0.01  0.00  0.11 0.052 0.95 4.3
